"UseCase","DeclarationFiles","DeclarationCount","TotalMatches","References","SafeToRemove"
"AddStudentToClassUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassGroups\ManageClassStudentsUseCases.cs","1","3","2","NO"
"ApproveProfileChangeRequestUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Portal\ApproveProfileChangeRequestUseCase.cs","1","3","2","NO"
"AssignPermissionToRoleUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Roles\AssignPermissionToRoleUseCase.cs","1","2","1","NO"
"AssignTeacherToEntryUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Scheduling\AssignTeacherToEntryUseCase.cs","1","4","3","NO"
"AttendanceReportByClassPagedUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\AttendanceReportByClassPagedUseCase.cs","1","4","3","NO"
"AttendanceReportByClassUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Attendance\AttendanceUseCases.cs","1","3","2","NO"
"AttendanceReportByStudentUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Attendance\AttendanceUseCases.cs","1","5","4","NO"
"AttendanceReportByTeacherUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Attendance\AttendanceReportByTeacherUseCase.cs","1","5","4","NO"
"BulkAssignTeachersUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassGroups\BulkAssignTeachersUseCase.cs","1","4","3","NO"
"BulkEnrollStudentsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassGroups\BulkEnrollStudentsUseCase.cs","1","4","3","NO"
"BulkUpdateStudentsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Students\BulkUpdateStudentsUseCase.cs","1","4","3","NO"
"CancelNoticeScheduleUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Notices\CancelNoticeScheduleUseCase.cs","1","2","1","NO"
"CancelTenantSubscriptionUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Subscriptions\TenantSubscriptionUseCases.cs","1","4","3","NO"
"CheckSubscriptionFeatureUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Subscriptions\TenantSubscriptionUseCases.cs","1","4","3","NO"
"ClearSearchHistoryUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\ClearSearchHistoryUseCase.cs","1","4","3","NO"
